Pop5_Original,Pop10_Original,Pop20_Original,Pop30_Original,Pop40_Original,
1929197,1958866,1868995,1877895,1869286,
1929197,1951265,1830860,1877895,1844726,
1929197,1949226,1799111,1877895,1844726,
1929197,1949226,1799111,1866891,1844726,
1928457,1949226,1799111,1866891,1844726,
1928457,1949226,1799111,1866891,1844726,
1922349,1928056,1798959,1866891,1844726,
1922349,1928056,1798959,1866891,1844726,
1909017,1928056,1798959,1866891,1815828,
1909017,1918011,1798959,1851676,1815828,
1894755,1918011,1794315,1851676,1815828,
1894755,1918011,1783503,1851676,1815828,
1894755,1918011,1769875,1849130,1796627,
1894755,1910057,1764876,1849130,1796627,
1881729,1910057,1749374,1849130,1796627,
1881729,1908209,1749374,1816248,1796627,
1881729,1908209,1749374,1816248,1795373,
1866268,1906258,1749374,1816248,1758983,
1860577,1906258,1749374,1816248,1758983,
1860577,1906258,1747314,1816248,1758983,
1856649,1899180,1747314,1816248,1758983,
1856649,1899180,1747314,1816248,1758983,
1854584,1877892,1747314,1816248,1758983,
1854414,1877892,1747314,1803129,1758983,
1854414,1859337,1747314,1803129,1758983,
1854266,1859337,1744849,1787079,1758983,
1846946,1859337,1744849,1784715,1758983,
1846946,1857195,1729557,1784715,1758983,
1840800,1857195,1729557,1775705,1758983,
1840800,1856500,1709829,1775705,1753593,
1840800,1851272,1705961,1775705,1753593,
1838971,1842049,1695434,1775705,1753593,
1838971,1842049,1695434,1758093,1753593,
1838963,1842049,1695434,1758093,1753593,
1811510,1835351,1695434,1758093,1746117,
1811510,1835351,1693372,1758093,1746117,
1811510,1835351,1692552,1751921,1746117,
1803383,1835351,1692552,1751921,1746117,
1803383,1835351,1672027,1745098,1746117,
1803383,1829104,1672027,1745098,1746117,
1803383,1801037,1663075,1745098,1746117,
1803383,1801037,1663075,1745098,1746117,
1799851,1801037,1663075,1745098,1746117,
1799851,1801037,1646978,1745098,1746117,
1795022,1801037,1646978,1745098,1746117,
1795022,1801037,1633209,1745098,1746117,
1795022,1801037,1633209,1745098,1746117,
1795022,1801037,1633209,1745098,1746117,
1795022,1789465,1633209,1745098,1746117,
1795022,1782158,1633209,1745098,1746117,
1795022,1774282,1633209,1745098,1741270,
1795022,1774282,1627676,1745098,1741270,
1795022,1769990,1627676,1745098,1730560,
1795022,1769990,1627676,1745098,1730560,
1789433,1768393,1627676,1745098,1723714,
1776964,1768393,1627676,1737790,1723035,
1776964,1768393,1627676,1736058,1723035,
1766790,1768393,1627676,1715118,1723035,
1763649,1768393,1627676,1715118,1723035,
1763649,1765346,1627676,1701373,1723035,
1763649,1765346,1619858,1701373,1723035,
1763649,1760857,1619858,1701373,1723035,
1763649,1747419,1614325,1701373,1723035,
1763649,1747419,1614325,1701373,1723035,
1763649,1747419,1614325,1701373,1723035,
1763649,1747419,1614325,1701373,1723035,
1763649,1744328,1614325,1697038,1714824,
1763649,1734345,1614325,1696421,1714824,
1757245,1701701,1614325,1695559,1708793,
1757245,1701616,1614325,1695559,1704437,
1757245,1701616,1614325,1678775,1704437,
1752783,1701533,1614325,1678775,1704437,
1752783,1698943,1614325,1677833,1704437,
1752783,1689790,1614325,1677833,1688234,
1748761,1689790,1607242,1677833,1688234,
1748761,1686879,1607242,1677833,1681254,
1748761,1685975,1607242,1677833,1681254,
1748761,1678273,1606857,1677833,1680726,
1739830,1678273,1592994,1666539,1680726,
1739830,1675868,1592994,1666539,1680726,
1739830,1665875,1592994,1666539,1680726,
1739830,1649115,1592994,1666539,1677520,
1739830,1649115,1592994,1661722,1646498,
1739830,1649115,1592994,1661722,1646498,
1739830,1649115,1590137,1661722,1646498,
1739830,1649115,1590137,1661722,1646498,
1739830,1642139,1589462,1653658,1646498,
1739830,1629631,1566018,1653658,1623745,
1739830,1629631,1566018,1653658,1623745,
1726056,1629631,1561382,1653658,1623745,
1726056,1629631,1561382,1650556,1623745,
1726056,1615615,1561382,1650556,1623745,
1726056,1611226,1559116,1650556,1623745,
1726056,1611226,1559116,1650556,1623745,
1726056,1609463,1559116,1650556,1623745,
1725528,1605635,1547574,1650556,1609975,
1725528,1603307,1547574,1650417,1609975,
1725528,1599483,1547574,1650417,1609825,
1725528,1599483,1547574,1650417,1609825,
1711868,1598918,1547574,1650417,1609825,
1711868,1598918,1547574,1650417,1609825,
1707407,1598918,1547574,1650417,1609825,
1707407,1594636,1547574,1650417,1609825,
1707407,1585917,1547574,1649705,1609825,
1707407,1585917,1547574,1649705,1609825,
1707407,1585917,1547574,1649705,1603396,
1696658,1585217,1547574,1649705,1603396,
1685056,1585217,1547574,1645236,1603396,
1685056,1585217,1547574,1645236,1603396,
1685056,1585217,1547574,1645236,1603396,
1685056,1563925,1547574,1645236,1603396,
1685056,1563925,1547574,1645236,1603396,
1685056,1557704,1547574,1645236,1603396,
1685056,1543262,1547574,1643097,1603396,
1685056,1543262,1547574,1643097,1603396,
1684619,1543262,1547574,1643097,1603396,
1684619,1543262,1547574,1643097,1594755,
1684619,1529656,1547574,1643097,1594755,
1684619,1529656,1547574,1643097,1594755,
1684619,1529656,1541734,1643097,1594755,
1684619,1529656,1541734,1643097,1594755,
1676840,1529656,1541734,1643097,1594755,
1676840,1503007,1530151,1643097,1594755,
1676840,1503007,1530151,1643097,1594755,
